N,E0,E1,ΔE,log10_ΔE,ln_ΔE
2,-3.9999999999999982,-3.464101615137751,0.5358983848622474,-0.2709175518693766,-0.6238107163648677
3,-5.22625185950551,-4.8284271247461925,0.39782473475931734,-0.40030821810567946,-0.9217437356131466
4,-6.472135954999569,-6.155367074350513,0.3167688806490556,-0.49925749004412323,-1.1495828541412212
5,-7.727406610312546,-7.4641016151377695,0.2633049951747761,-0.5795409017892467,-1.3344422412402457
6,-8.987918414869858,-8.76257253506965,0.2253458798002086,-0.6471503781139358,-1.4901188135706087
7,-10.25166179095583,-10.054678984241356,0.1969828067144732,-0.7055716787870878,-1.6246388296139316
8,-11.517540966281398,-11.342563639229684,0.17497732705171387,-0.7570182220237305,-1.7430988731566988
9,-12.784906442957851,-12.627503029317303,0.157403413640548,-0.8029858532401235,-1.8489432555558127
10,-14.053348366619193,-13.910305543519279,0.14304282309991478,-0.8445339272071619,-1.9446112313149295
11,-15.322595151013097,-15.191508225388656,0.1310869256244409,-0.8824406219049841,-2.031894621450811
12,-16.592459621023725,-16.471481908883987,0.12097771213973729,-0.9172946328761358,-2.112148947544036
13,-17.86280854064652,-17.750490949794738,0.11231759085178084,-0.9495522204831325,-2.186424787903856
14,-19.13354446685542,-19.02872890829952,0.10481555855589875,-0.9795742469949182,-2.255553058611366
15,-20.404594474581053,-20.30634077486141,0.09825369971964193,-1.0076510873894469,-2.3202023727621808
