k,E0,E1,ΔE,log10_ΔE
1,-3.9999999999999982,-3.464101615137751,0.5358983848622474,-0.2709175518693766
2,-8.877429589987024,-8.621809893499632,0.2556196964873916,-0.592405685152854
3,-13.813381733144187,-13.659353096638231,0.15402863650595577,-0.8123985290313772
4,-18.76891450198579,-18.666276564302972,0.10263793768281815,-0.9886920828799146
5,-23.73418892572353,-23.662149347519048,0.07203957820448181,-1.1424288386620867
6,-28.705336871405173,-28.653295302835225,0.05204156856994757,-1.2836496219681308
7,-33.68042979938363,-33.642219729005106,0.03821007037852553,-1.417822162390703
8,-38.65834517292959,-38.63004063454677,0.028304538382819544,-1.548143923606768
9,-43.638354794888734,-43.61729469990008,0.021060094988655464,-1.6765396743207186
10,-48.6199492127282,-48.604251541373856,0.015697671354345744,-1.8041647675248684
11,-53.60275384695127,-53.59105052748063,0.01170331947064085,-1.9316909396799236
12,-58.586485012420965,-58.577765001788904,0.008720010632060848,-2.0594829855442054
13,-63.57092462339152,-63.56443399945219,0.0064906239393280885,-2.1877135527554756
14,-68.55590415122634,-68.55107844497982,0.004825706246521122,-2.316439118274263
15,-73.54129345807644,-73.53770960615745,0.003583851918989467,-2.4456499432326684
16,-78.52699244336165,-78.52433356890722,0.002658874454425586,-2.575302168511763
17,-83.51292451679565,-83.51095362696756,0.001970889828086797,-2.705337651921092
18,-88.4990314025354,-88.49757156536889,0.0014598371665073273,-2.8356955836889837
19,-93.48526899300865,-93.48418835232758,0.0010806406810672797,-2.966318687333115
20,-98.47160406011625,-98.47080451364204,0.0007995464742123204,-3.097156287505789
21,-103.45801167156296,-103.45742033481343,0.0005913367495224975,-3.2281651302704866
22,-108.44447318158282,-108.44403597101481,0.0004372105680090499,-3.3593093490724133
23,-113.43097468349083,-113.43065150660706,0.0003231768837679283,-3.490559711050505
24,-118.41750582753696,-118.41726698749204,0.00023884004491492306,-3.621892855819259
25,-123.40405892439415,-123.40388243856847,0.0001764858256763091,-3.7532901689036797
26,-128.39062826905783,-128.39049787343038,0.00013039562745120747,-3.8847369715308715
27,-133.37720963313012,-133.3771132994561,9.633367400851967e-5,-4.01622187611787
